aoi,method,mean_ap,mean_auroc,mean_top5_recall,mean_top5_enrichment
L15-0361E-1300N_1446_2989_13,raw_l2,0.10752020921725923,0.8723758970030621,0.6553642082164695,13.107225715857593
L15-0361E-1300N_1446_2989_13,smoothed_pca_sigma1,0.018729698898001582,0.8773808849891659,0.5514462833295131,11.028876489034646
L15-0361E-1300N_1446_2989_13,ir_mad,0.02884840600571675,0.8927038241954088,0.6211289791939926,12.422524644952288
L15-0361E-1300N_1446_2989_13,band_image_ds,0.0420092764244277,0.8278854439549398,0.5103239066603212,10.206434308762638
L15-0361E-1300N_1446_2989_13,band_image_cross_reconstruction,0.08247237356858368,0.8353956289249562,0.5465692644466861,10.931338476714531
L15-0361E-1300N_1446_2989_13,band_image_projector_distance,0.012389150401875399,0.7339180813121129,0.3443396283707359,6.8867634518562175
L15-0586E-1127N_2345_3680_13,raw_l2,0.1392708077530861,0.7859366150966562,0.48471028118448695,9.694133355293175
L15-0586E-1127N_2345_3680_13,smoothed_pca_sigma1,0.06961166254448016,0.8007895567053843,0.36748490890598845,7.349642623783768
L15-0586E-1127N_2345_3680_13,ir_mad,0.03847107029932309,0.8320395058431395,0.5096936316254164,10.193798052752745
L15-0586E-1127N_2345_3680_13,band_image_ds,0.01067501079300029,0.7447730193645518,0.2820911834351077,5.6417839659679005
L15-0586E-1127N_2345_3680_13,band_image_cross_reconstruction,0.029512258644372385,0.7943831765093706,0.4096869110753521,8.193679711597902
L15-0586E-1127N_2345_3680_13,band_image_projector_distance,0.0013958583275851637,0.5977639632976289,0.06950092752240673,1.3900079961498302
L15-1203E-1203N_4815_3378_13,raw_l2,0.012185026943456174,0.6949517170081667,0.3668405423142594,7.336702447565021
L15-1203E-1203N_4815_3378_13,smoothed_pca_sigma1,0.007544674030762707,0.8194747988378858,0.3160956529598494,6.321821010188932
L15-1203E-1203N_4815_3378_13,ir_mad,0.008358628558310528,0.8070062591823892,0.3612371204178934,7.224637386462061
L15-1203E-1203N_4815_3378_13,band_image_ds,0.008762640765746678,0.7897726819080403,0.36992208774949753,7.398332506662032
L15-1203E-1203N_4815_3378_13,band_image_cross_reconstruction,0.017249113855874867,0.8085683290046025,0.4053211715358851,8.106304740199077
L15-1203E-1203N_4815_3378_13,band_image_projector_distance,0.005398910549719126,0.7147340044438644,0.2367327523093422,4.734584123893993
L15-1289E-1169N_5156_3514_13,raw_l2,0.0375738416528951,0.7617473061222615,0.46877921437835224,9.375548522687732
L15-1289E-1169N_5156_3514_13,smoothed_pca_sigma1,0.01613924856714369,0.8171893194009994,0.4695179400682818,9.390322980126241
L15-1289E-1169N_5156_3514_13,ir_mad,0.01310059748482585,0.8129605117433533,0.47276416663827575,9.455247263859631
L15-1289E-1169N_5156_3514_13,band_image_ds,0.017817289071812625,0.7678384310533781,0.3927627802892364,7.855225640476957
L15-1289E-1169N_5156_3514_13,band_image_cross_reconstruction,0.015213674408724289,0.7883457035304132,0.450222960176807,9.004424854381268
L15-1289E-1169N_5156_3514_13,band_image_projector_distance,0.004820745128886616,0.6426651549315736,0.20388675034170034,4.077719451568765
L15-1672E-1207N_6691_3363_13,raw_l2,0.08256342206034945,0.7864194002932462,0.44669563391060224,8.933844451760647
L15-1672E-1207N_6691_3363_13,smoothed_pca_sigma1,0.02937176565834417,0.7994564724528506,0.4379198698636914,8.758330511196487
L15-1672E-1207N_6691_3363_13,ir_mad,0.03610276401434689,0.8543245563950262,0.5547106417062754,11.094128109906682
L15-1672E-1207N_6691_3363_13,band_image_ds,0.022116316369885737,0.7355549807488191,0.27217528937893637,5.443464216645988
L15-1672E-1207N_6691_3363_13,band_image_cross_reconstruction,0.07904828690795519,0.7740430028998869,0.3647867533853508,7.295679351680689
L15-1672E-1207N_6691_3363_13,band_image_projector_distance,0.02223951198423677,0.6938053412766321,0.26998267512964114,5.399612266550952
L15-1690E-1211N_6763_3346_13,raw_l2,0.011003792750478044,0.6716779013489903,0.22430203140615035,4.4859710466618115
L15-1690E-1211N_6763_3346_13,smoothed_pca_sigma1,0.004251156779956466,0.6572666839155495,0.1793763708867055,3.587471720010966
L15-1690E-1211N_6763_3346_13,ir_mad,0.008765597471915954,0.7342204357891187,0.32274878339175933,6.454874535301211
L15-1690E-1211N_6763_3346_13,band_image_ds,0.015380536333161363,0.6782766622294275,0.24483395225365842,4.896601661238178
L15-1690E-1211N_6763_3346_13,band_image_cross_reconstruction,0.04349561681996472,0.7009728180239018,0.2911512222691634,5.8229346824284764
L15-1690E-1211N_6763_3346_13,band_image_projector_distance,0.015771991959674735,0.6272377185329718,0.22495656510916354,4.499058479011323
L15-1691E-1211N_6764_3347_13,raw_l2,0.010990570787756362,0.7553474849843184,0.3411071285969259,6.822045258660411
L15-1691E-1211N_6764_3347_13,smoothed_pca_sigma1,0.005390848980299578,0.7631288391951783,0.314387501899865,6.287659758553418
L15-1691E-1211N_6764_3347_13,ir_mad,0.008980626984802391,0.8094440707684112,0.41737643650525413,8.34740720911671
L15-1691E-1211N_6764_3347_13,band_image_ds,0.006611676818188164,0.7142697870031429,0.25945013377091053,5.188927538464109
L15-1691E-1211N_6764_3347_13,band_image_cross_reconstruction,0.020441077471519856,0.7662208568595399,0.3475307985844197,6.950515222770911
L15-1691E-1211N_6764_3347_13,band_image_projector_distance,0.009331044083793084,0.7107580091642012,0.2600251606726841,5.20043253186405
L15-1748E-1247N_6993_3202_13,raw_l2,0.019423632445483972,0.831248427971246,0.5035323868758362,10.07060280615551
L15-1748E-1247N_6993_3202_13,smoothed_pca_sigma1,0.011774164058922534,0.8246208997374679,0.3854688771095073,7.709342131656793
L15-1748E-1247N_6993_3202_13,ir_mad,0.008015064909983183,0.8384625326018037,0.49389097966001133,9.877775311598864
L15-1748E-1247N_6993_3202_13,band_image_ds,0.004670454918369479,0.7175127932555764,0.3054314965376399,6.108604571693299
L15-1748E-1247N_6993_3202_13,band_image_cross_reconstruction,0.00954436213989306,0.747569488731518,0.36421919954699805,7.284351117666574
L15-1748E-1247N_6993_3202_13,band_image_projector_distance,0.001685915012227399,0.6542337889938279,0.17708022443856977,3.5415857208411516
L15-1848E-0793N_7394_5018_13,raw_l2,0.12858828178568685,0.8317858537819904,0.603179761758504,12.063462298721625
L15-1848E-0793N_7394_5018_13,smoothed_pca_sigma1,0.007184930406309125,0.7595088134814314,0.35601582844043567,7.120248195352275
L15-1848E-0793N_7394_5018_13,ir_mad,0.010395775559697408,0.7468304828949568,0.377149731624148,7.542918788317747
L15-1848E-0793N_7394_5018_13,band_image_ds,0.012400603917971915,0.8082430929358428,0.461610637279485,9.232098977918968
L15-1848E-0793N_7394_5018_13,band_image_cross_reconstruction,0.008292405083591086,0.7942483881025212,0.41040114369768144,8.20793852373909
L15-1848E-0793N_7394_5018_13,band_image_projector_distance,0.006523844887704337,0.7107227046006626,0.3066554990297081,6.133018679764082
